time,block_number,transaction_index,value,gas,gas_price,max_fee_per_gas,max_priority_fee_per_gas,count
2021-08-14 00:13:34.000,13020013.0,0.5,0.0,63000.0,106500000000.0,,,2
2021-08-14 00:13:35.000,13020014.0,75.5,0.0,163997.84210526315,71863953595.5658,90752541318.18182,20949476681.81818,152
2021-08-14 00:13:47.000,13020015.0,28.0,0.0,150188.8245614035,81595855843.47368,105125036000.0,5111111111.111111,57
2021-08-14 00:13:55.000,13020016.0,12.0,0.0,160284.48,63251574317.12,124000002000.0,6000000000.0,25
2021-08-14 00:13:58.000,13020017.0,190.0,0.0,165825.71128608924,66393993494.580055,75304025700.0,38663121880.0,381
2021-08-14 00:14:29.000,13020018.0,136.5,0.0,169737.39781021897,54611096124.857666,,,274
2021-08-14 00:14:42.000,13020019.0,196.0,0.0,164423.9669211196,64702742557.20102,93451273254.33527,10167679514.682081,393
2021-08-14 00:15:18.000,13020021.0,147.5,0.0,150735.8141891892,68811628188.26013,95229279753.62318,13624386749.275362,296
2021-08-14 00:15:45.000,13020022.0,49.0,0.0,165870.44444444444,72289027295.9899,97272376312.5,21480911676.25,99
2021-08-14 00:15:51.000,13020023.0,159.5,0.0,180817.26875,67767575536.44063,,,320
2021-08-14 00:16:31.000,13020024.0,251.5,0.0,130911.84722222222,66975747893.13095,101843667347.98535,10529496740.07326,504
2021-08-14 00:17:12.000,13020025.0,70.0,27.144736842105264,162484.1489361702,104572509867.04965,90757329735.29411,4687138941.176471,141
2021-08-14 00:17:41.000,13020026.0,26.5,0.0,135165.4814814815,76927702505.62962,103791092428.57143,4809523809.523809,54
2021-08-14 00:17:51.000,13020027.0,150.5,0.0,200855.79801324505,62938114245.65563,95590813681.81818,17027510213.636364,302
2021-08-14 00:18:08.000,13020028.0,25.5,0.0,124471.36538461539,69254440986.98077,92195473238.09525,3812170849.5238094,52
2021-08-14 00:18:15.000,13020029.0,67.0,0.0,222017.87407407406,58551924307.28889,,,135
2021-08-14 00:18:23.000,13020030.0,83.5,0.0,190071.35714285713,73553605144.06548,95032987138.46153,12617805654.461538,168
2021-08-14 00:18:36.000,13020031.0,118.0,30.233870967741936,174085.3459915612,66585641854.303795,81224394451.6129,11748803272.741936,237
2021-08-14 00:18:47.000,13020032.0,64.0,0.0,226682.1472868217,70152929513.51938,106598367264.15094,2072098945.471698,129
2021-08-14 00:18:55.000,13020033.0,74.5,0.0,211594.01333333334,67852941838.40667,95385113607.14285,14918513758.571428,150
2021-08-14 00:19:08.000,13020034.0,23.0,0.0,349616.6382978723,80052838572.59575,155955722400.0,83712426000.0,47
2021-08-14 00:19:12.000,13020035.0,169.5,298.5,179158.65,56258039842.07059,83500465681.81818,23232505818.18182,340
2021-08-14 00:19:25.000,13020036.0,44.0,0.0,187220.61797752808,65276718910.32584,77739956409.09091,10642962875.90909,89
2021-08-14 00:19:36.000,13020037.0,45.5,0.0,149210.38043478262,68552191776.28261,85784765133.33333,6873608166.666667,92
2021-08-14 00:19:37.000,13020038.0,96.0,0.0,273608.55958549224,57608253330.02073,67637691939.393936,35301057151.51515,193
2021-08-14 00:19:45.000,13020039.0,108.5,0.0,182255.63302752294,61028496138.788994,94704080111.11111,8597570813.333334,218
2021-08-14 00:19:58.000,13020040.0,51.5,0.0,185392.21153846153,61066203387.01923,86127115416.66667,9779287932.916666,104
2021-08-14 00:20:06.000,13020041.0,28.0,0.0,156955.73684210525,50899926781.7193,48636204333.333336,48636204333.333336,57
2021-08-14 00:20:09.000,13020042.0,24.5,0.0,196350.0,63424546549.32,112722159333.33333,2535640000.0,50
2021-08-14 00:20:10.000,13020043.0,173.5,0.0,164477.65229885056,51564851380.45115,51506901055.55556,50425534750.0,348
2021-08-14 00:20:17.000,13020044.0,76.5,0.0,187799.97402597402,51623168590.55844,79803413642.85715,10751393844.642857,154
2021-08-14 00:20:22.000,13020045.0,36.5,0.0,274317.8243243243,57416934499.567566,66191813000.0,24908306142.857143,74
2021-08-14 00:20:30.000,13020046.0,134.0,0.0,146726.46096654274,59549017315.50186,87549673644.0678,12453791559.322035,269
2021-08-14 00:20:50.000,13020047.0,127.0,0.0,154891.45882352942,57953934377.09804,80826631844.82759,12330912385.51724,255
2021-08-14 00:21:09.000,13020048.0,125.5,0.0,155063.19047619047,56928080673.900795,77035664872.09302,11616281507.906977,252
2021-08-14 00:21:28.000,13020049.0,81.5,0.0,177736.23170731709,57886940816.29269,76946817000.0,13053565940.9375,164
